Nombre Jugador,Fecha Nacimiento,Posicion,Posicion Secundaria,Equipo,Division,Video,Link Jugador,Valor de Mercado,Valor negociado,V Region,Nacionalidad,Extranjero,Valoracion
Sebastián Lomónaco,17/09/1998,Delantero centro,Delantero centro,Unión La Calera,Primera A Chile,,https://www.transfermarkt.es/sebastian-lomonaco/profil/spieler/556046,"2,50 mill. €",,Si,Argentina,Si,Predeterminado
Agustín Rodríguez,10/02/1998,Delantero centro,Delantero centro,Unión La Calera,Primera A Chile,,https://www.transfermarkt.es/agustin-rodriguez/profil/spieler/692612,750 mil €,,Si,Uruguay,Si,Predeterminado
Franco Soldano,14/09/1994,Delantero centro,Extremo derecho,Unión La Calera,Primera A Chile,,https://www.transfermarkt.es/franco-soldano/profil/spieler/358212,600 mil €,,Si,Argentina,Si,Predeterminado
Gabriel Hauche,27/11/1986,Delantero centro,Extremo derecho,Unión La Calera,Primera A Chile,,https://www.transfermarkt.es/gabriel-hauche/profil/spieler/54845,350 mil €,,Si,Argentina,Si,Predeterminado
David Romero,25/03/2003,Delantero centro,Delantero centro,Unión La Calera,Primera A Chile,,https://www.transfermarkt.es/david-romero/profil/spieler/668512,150 mil €,,Si,Argentina,Si,Predeterminado
Walter Ponce,04/03/1998,Delantero centro,Extremo derecho,Unión La Calera,Primera A Chile,,https://www.transfermarkt.es/walter-ponce/profil/spieler/401695,150 mil €,,Si,Chile,No,Predeterminado
Emmanuel Gigliotti,20/05/1987,Delantero centro,Delantero centro,Unión La Calera,Primera A Chile,,https://www.transfermarkt.es/emmanuel-gigliotti/profil/spieler/87365,100 mil €,,Si,Argentina,Si,Predeterminado
Joaquín Alvear,29/06/2004,Delantero,Delantero,Unión La Calera,Primera A Chile,,https://www.transfermarkt.es/joaquin-alvear/profil/spieler/1001615,Sin valor,,Si,Chile,No,Predeterminado
Sebastián Pérez,02/12/1990,Portero,Portero,Unión Española,Primera A Chile,,https://www.transfermarkt.es/sebastian-perez/profil/spieler/103253,700 mil €,,No,Chile,No,Predeterminado
Franco Torgnascioli,24/08/1990,Portero,Portero,Unión Española,Primera A Chile,,https://www.transfermarkt.es/franco-torgnascioli/profil/spieler/240891,450 mil €,,No,Uruguay,Si,Predeterminado
Nicolás Guirín,07/05/1995,Portero,Portero,Unión Española,Primera A Chile,,https://www.transfermarkt.es/nicolas-guirin/profil/spieler/339887,350 mil €,,No,Uruguay,Si,Predeterminado
Juan José Echave,24/01/2001,Portero,Portero,Unión Española,Primera A Chile,,https://www.transfermarkt.es/juan-jose-echave/profil/spieler/622351,175 mil €,,No,Chile,No,Predeterminado
Martín Ballesteros,04/05/2002,Portero,Portero,Unión Española,Primera A Chile,,https://www.transfermarkt.es/martin-ballesteros/profil/spieler/844446,50 mil €,,No,Chile,No,Predeterminado
Alonso Montecinos,13/05/1999,Portero,Portero,Unión Española,Primera A Chile,,https://www.transfermarkt.es/alonso-montecinos/profil/spieler/742151,Sin valor,,No,Chile,No,Predeterminado
Jonathan Villagra,28/03/2001,Defensa central,Defensa central,Unión Española,Primera A Chile,,https://www.transfermarkt.es/jonathan-villagra/profil/spieler/747716,800 mil €,,No,Chile,No,Predeterminado
José Tiznado,03/09/1994,Defensa central,Lateral derecho,Unión Española,Primera A Chile,,https://www.transfermarkt.es/jose-tiznado/profil/spieler/536016,325 mil €,,No,Chile,No,Predeterminado
Manuel Fernández,25/01/1989,Defensa central,Defensa central,Unión Española,Primera A Chile,,https://www.transfermarkt.es/manuel-fernandez/profil/spieler/195958,325 mil €,,No,Uruguay,Si,Predeterminado
Bastián Roco,24/10/2003,Defensa central,Defensa central,Unión Española,Primera A Chile,,https://www.transfermarkt.es/bastian-roco/profil/spieler/844431,125 mil €,,No,Chile,No,Predeterminado
Milovan Celis,08/06/2006,Defensa central,Pivote,Unión Española,Primera A Chile,,https://www.transfermarkt.es/milovan-celis/profil/spieler/1119927,Sin valor,,No,Chile,No,Predeterminado
Valentín Vidal,12/05/2004,Defensa central,Pivote,Unión Española,Primera A Chile,,https://www.transfermarkt.es/valentin-vidal/profil/spieler/1064213,Sin valor,,No,Chile,No,Predeterminado
Luis Pavez Muñoz,17/09/1995,Lateral izquierdo,Interior izquierdo,Unión Española,Primera A Chile,,https://www.transfermarkt.es/luis-pavez-munoz/profil/spieler/268150,450 mil €,,No,Chile,No,Predeterminado
Nicolás Peñailillo,13/06/1991,Lateral izquierdo,Interior izquierdo,Unión Española,Primera A Chile,,https://www.transfermarkt.es/nicolas-penailillo/profil/spieler/138980,275 mil €,,No,Chile,No,Predeterminado
Andrés Segovia,27/07/1997,Lateral izquierdo,Interior izquierdo,Unión Española,Primera A Chile,,https://www.transfermarkt.es/andres-segovia/profil/spieler/727888,125 mil €,,No,Chile,No,Predeterminado
Jeyson Rojas,23/01/2002,Lateral derecho,Defensa central,Unión Española,Primera A Chile,,https://www.transfermarkt.es/jeyson-rojas/profil/spieler/749052,500 mil €,,No,Chile,No,Predeterminado
Simón Ramírez,03/11/1998,Lateral derecho,Interior derecho,Unión Española,Primera A Chile,,https://www.transfermarkt.es/simon-ramirez/profil/spieler/401712,425 mil €,,No,Chile,No,Predeterminado
Stefano Magnasco,28/09/1992,Lateral derecho,Lateral izquierdo,Unión Española,Primera A Chile,,https://www.transfermarkt.es/stefano-magnasco/profil/spieler/180907,375 mil €,,No,Chile,No,Predeterminado
Emanuel Cecchini,24/12/1996,Pivote,Mediocentro,Unión Española,Primera A Chile,,https://www.transfermarkt.es/emanuel-cecchini/profil/spieler/324946,350 mil €,,No,Argentina,Si,Predeterminado
Sebastián Leyton,13/05/1993,Pivote,Mediocentro,Unión Española,Primera A Chile,,https://www.transfermarkt.es/sebastian-leyton/profil/spieler/184987,250 mil €,,No,Chile,No,Predeterminado
Diego González,09/02/1988,Pivote,Mediocentro,Unión Española,Primera A Chile,,https://www.transfermarkt.es/diego-gonzalez/profil/spieler/54578,150 mil €,,No,Argentina,Si,Predeterminado
Bruno Jáuregui,18/01/2004,Pivote,Mediocentro,Unión Española,Primera A Chile,,https://www.transfermarkt.es/bruno-jauregui/profil/spieler/1228325,Sin valor,,No,Chile,No,Predeterminado
Felipe Massri,18/02/2002,Mediocentro,Pivote,Unión Española,Primera A Chile,,https://www.transfermarkt.es/felipe-massri/profil/spieler/1058822,200 mil €,,No,Chile,No,Predeterminado
Mauro Maureira,01/06/2001,Mediocentro,Lateral derecho,Unión Española,Primera A Chile,,https://www.transfermarkt.es/mauro-maureira/profil/spieler/661465,175 mil €,,No,Chile,No,Predeterminado
Ignacio Núñez,15/01/1999,Mediocentro,Pivote,Unión Española,Primera A Chile,,https://www.transfermarkt.es/ignacio-nunez/profil/spieler/577011,100 mil €,,No,Chile,No,Predeterminado
Diego Acevedo,23/02/2001,Mediocentro,Extremo derecho,Unión Española,Primera A Chile,,https://www.transfermarkt.es/diego-acevedo/profil/spieler/843342,25 mil €,,No,Chile,No,Predeterminado
Leonardo Naranjo,22/05/2004,Mediocentro,Mediocentro,Unión Española,Primera A Chile,,https://www.transfermarkt.es/leonardo-naranjo/profil/spieler/1101179,Sin valor,,No,Chile,No,Predeterminado
Emiliano Vecchio,16/11/1988,Mediocentro ofensivo,Mediocentro,Unión Española,Primera A Chile,,https://www.transfermarkt.es/emiliano-vecchio/profil/spieler/75728,"1,20 mill. €",,No,Argentina,Si,Predeterminado
Bryan Carvallo,15/09/1996,Mediocentro ofensivo,Extremo derecho,Unión Española,Primera A Chile,,https://www.transfermarkt.es/bryan-carvallo/profil/spieler/319463,400 mil €,,No,Chile,No,Predeterminado
Jeremy Silva,08/02/2001,Mediocentro ofensivo,Extremo izquierdo,Unión Española,Primera A Chile,,https://www.transfermarkt.es/jeremy-silva/profil/spieler/660995,25 mil €,,No,Chile,No,Predeterminado
Claudio Espinoza,24/06/2002,Mediocentro ofensivo,Mediocentro ofensivo,Unión Española,Primera A Chile,,https://www.transfermarkt.es/claudio-espinoza/profil/spieler/885826,25 mil €,,No,Chile,No,Predeterminado
Rodrigo Vásquez,09/04/2005,Mediocentro ofensivo,Mediocentro ofensivo,Unión Española,Primera A Chile,,https://www.transfermarkt.es/rodrigo-vasquez/profil/spieler/1103335,Sin valor,,No,Chile,No,Predeterminado
Bastián Yáñez,27/06/2001,Extremo izquierdo,Extremo derecho,Unión Española,Primera A Chile,,https://www.transfermarkt.es/bastian-yanez/profil/spieler/600028,"1,30 mill. €",,No,Chile,No,Predeterminado
Pablo Aránguiz,17/03/1997,Extremo izquierdo,Mediocentro ofensivo,Unión Española,Primera A Chile,,https://www.transfermarkt.es/pablo-aranguiz/profil/spieler/369850,375 mil €,,No,Chile,No,Predeterminado
Gabriel Norambuena,07/05/2003,Extremo izquierdo,Extremo derecho,Unión Española,Primera A Chile,,https://www.transfermarkt.es/gabriel-norambuena/profil/spieler/863859,350 mil €,,No,Chile,No,Predeterminado
Fernando Ovelar,06/01/2004,Extremo derecho,Mediapunta,Unión Española,Primera A Chile,,https://www.transfermarkt.es/fernando-ovelar/profil/spieler/630945,"1,50 mill. €",,No,Paraguay,Si,Predeterminado
Rodrigo Piñeiro,05/05/1999,Extremo derecho,Mediapunta,Unión Española,Primera A Chile,,https://www.transfermarkt.es/rodrigo-pineiro/profil/spieler/481272,800 mil €,,No,Uruguay,Si,Predeterminado
Ariel Uribe,14/02/1999,Extremo derecho,Extremo izquierdo,Unión Española,Primera A Chile,,https://www.transfermarkt.es/ariel-uribe/profil/spieler/628970,400 mil €,,No,Chile,No,Predeterminado
Thomas Rodríguez,05/04/1996,Extremo derecho,Extremo izquierdo,Unión Española,Primera A Chile,,https://www.transfermarkt.es/thomas-rodriguez/profil/spieler/402581,400 mil €,,No,Chile,No,Predeterminado
Leandro Garate,02/09/1993,Delantero centro,Delantero centro,Unión Española,Primera A Chile,,https://www.transfermarkt.es/leandro-garate/profil/spieler/300308,600 mil €,,No,Argentina,Si,Predeterminado
Vicente Conelli,07/01/2003,Delantero centro,Extremo derecho,Unión Española,Primera A Chile,,https://www.transfermarkt.es/vicente-conelli/profil/spieler/859933,550 mil €,,No,Chile,No,Predeterminado
Leandro Benegas,27/11/1988,Delantero centro,Extremo izquierdo,Unión Española,Primera A Chile,,https://www.transfermarkt.es/leandro-benegas/profil/spieler/125899,500 mil €,,No,Chile,No,Predeterminado
Franco Frías,17/03/2002,Delantero centro,Delantero centro,Unión Española,Primera A Chile,,https://www.transfermarkt.es/franco-frias/profil/spieler/858262,500 mil €,,No,Argentina,Si,Predeterminado
Valentín Adamo,04/05/2002,Delantero centro,Delantero centro,Unión Española,Primera A Chile,,https://www.transfermarkt.es/valentin-adamo/profil/spieler/982526,175 mil €,,No,Uruguay,Si,Predeterminado
Tomás Tolosa,23/01/2003,Delantero centro,Delantero centro,Unión Española,Primera A Chile,,https://www.transfermarkt.es/tomas-tolosa/profil/spieler/886144,Sin valor,,No,Chile,No,Predeterminado
Oscar Ustari,03/07/1986,Portero,Portero,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/oscar-ustari/profil/spieler/3755,"1,00 mill. €",,No,Argentina,Si,Predeterminado
Tomás Ahumada,24/06/2001,Portero,Portero,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/tomas-ahumada/profil/spieler/749055,500 mil €,,No,Chile,No,Predeterminado
Joaquín Muñoz,28/12/1990,Portero,Portero,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/joaquin-munoz/profil/spieler/265839,350 mil €,,No,Chile,No,Predeterminado
Omar Carabalí,12/06/1997,Portero,Portero,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/omar-carabali/profil/spieler/462231,250 mil €,,No,Chile,No,Predeterminado
Gonzalo Collao,09/09/1997,Portero,Portero,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/gonzalo-collao/profil/spieler/453813,150 mil €,,No,Chile,No,Predeterminado
Joaquín García,06/05/1999,Portero,Portero,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/joaquin-garcia/profil/spieler/567627,50 mil €,,No,Chile,No,Predeterminado
Cristóbal Piña,08/07/2007,Portero,Portero,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/cristobal-pina/profil/spieler/1026504,Sin valor,,No,Chile,No,Predeterminado
Guillermo Ortiz,09/08/1992,Defensa central,Lateral derecho,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/guillermo-ortiz/profil/spieler/213543,"1,00 mill. €",,No,Argentina,Si,Predeterminado
Germán Guiffrey,31/12/1997,Defensa central,Lateral izquierdo,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/german-guiffrey/profil/spieler/610616,525 mil €,,No,Argentina,Si,Predeterminado
Osvaldo Bosso,14/10/1993,Defensa central,Pivote,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/osvaldo-bosso/profil/spieler/209815,500 mil €,,No,Chile,No,Predeterminado
Carlos Labrín,02/12/1990,Defensa central,Defensa central,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/carlos-labrin/profil/spieler/89783,325 mil €,,No,Chile,No,Predeterminado
Fabián Torres,27/04/1989,Defensa central,Defensa central,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/fabian-torres/profil/spieler/534285,300 mil €,,No,Chile,No,Predeterminado
Cristóbal Muñoz,11/10/1999,Defensa central,Defensa central,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/cristobal-munoz/profil/spieler/698322,75 mil €,,No,Chile,No,Predeterminado
Daniel Piña,16/11/2001,Defensa central,Defensa central,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/daniel-pina/profil/spieler/982627,25 mil €,,No,Chile,No,Predeterminado
Diego Monreal,05/09/2002,Defensa central,Defensa central,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/diego-monreal/profil/spieler/1113881,Sin valor,,No,Chile,No,Predeterminado
Roberto Cereceda,10/10/1984,Lateral izquierdo,Interior izquierdo,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/roberto-cereceda/profil/spieler/63391,75 mil €,,No,Chile,No,Predeterminado
Esteban Matus,12/02/2002,Lateral izquierdo,Extremo izquierdo,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/esteban-matus/profil/spieler/982626,25 mil €,,No,Chile,No,Predeterminado
Nicolás Fernández,03/08/1999,Lateral derecho,Interior derecho,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/nicolas-fernandez/profil/spieler/549597,550 mil €,,No,Chile,No,Predeterminado
Oliver Rojas,11/06/2000,Lateral derecho,Lateral izquierdo,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/oliver-rojas/profil/spieler/491642,425 mil €,,No,Chile,No,Predeterminado
Luckas Carreño,04/07/2003,Pivote,Mediocentro,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/luckas-carreno/profil/spieler/932564,500 mil €,,No,Chile,No,Predeterminado
Emanuel Cecchini,24/12/1996,Pivote,Mediocentro,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/emanuel-cecchini/profil/spieler/324946,350 mil €,,No,Argentina,Si,Predeterminado
Gastón Gil Romero,06/05/1993,Pivote,Pivote,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/gaston-gil-romero/profil/spieler/222052,200 mil €,,No,Argentina,Si,Predeterminado
Marcelo Díaz,30/12/1986,Pivote,Mediocentro,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/marcelo-diaz/profil/spieler/83895,150 mil €,,No,Chile,No,Predeterminado
Santiago Dittborn,30/10/1992,Mediocentro,Interior izquierdo,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/santiago-dittborn/profil/spieler/176601,500 mil €,,No,Chile,No,Predeterminado
Matías Sepúlveda,12/03/1999,Mediocentro,Lateral izquierdo,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/matias-sepulveda/profil/spieler/511436,450 mil €,,No,Chile,No,Predeterminado
Marco Collao,11/04/1998,Mediocentro,Mediocentro ofensivo,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/marco-collao/profil/spieler/534290,450 mil €,,No,Chile,No,Predeterminado
Fernando Juárez,23/08/1998,Mediocentro,Mediocentro ofensivo,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/fernando-juarez/profil/spieler/439627,200 mil €,,No,Argentina,Si,Predeterminado
Mario Sandoval Molina,07/08/2007,Mediocentro,Mediocentro,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/mario-sandoval-molina/profil/spieler/1177391,Sin valor,,No,Chile,No,Predeterminado
Lucas Reyes,16/08/2004,Mediocentro,Mediocentro,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/lucas-reyes/profil/spieler/1264269,Sin valor,,No,Chile,No,Predeterminado
Agustín Zamorano,19/05/2003,Mediocentro,Mediocentro,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/agustin-zamorano/profil/spieler/1278013,Sin valor,,No,Chile,No,Predeterminado
Matías Contreras,14/01/2005,Mediocentro,Mediocentro,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/matias-contreras/profil/spieler/1284959,Sin valor,,No,Chile,No,Predeterminado
Nicolás Aedo,06/04/2001,Mediocentro ofensivo,Mediocentro ofensivo,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/nicolas-aedo/profil/spieler/841065,400 mil €,,No,Chile,No,Predeterminado
Gabriel Hachen,16/10/1990,Mediocentro ofensivo,Extremo derecho,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/gabriel-hachen/profil/spieler/213541,400 mil €,,No,Argentina,Si,Predeterminado
Gonzalo Ríos,27/01/1999,Mediocentro ofensivo,Extremo derecho,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/gonzalo-rios/profil/spieler/907834,275 mil €,,No,Argentina,Si,Predeterminado
Carlos Villanueva,05/02/1986,Mediocentro ofensivo,Mediocentro,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/carlos-villanueva/profil/spieler/53164,200 mil €,,No,Chile,No,Predeterminado
Michael Fuentes,27/05/1998,Extremo izquierdo,Delantero centro,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/michael-fuentes/profil/spieler/573836,500 mil €,,No,Chile,No,Predeterminado
Paolo Guajardo,27/05/2003,Extremo izquierdo,Extremo derecho,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/paolo-guajardo/profil/spieler/882846,400 mil €,,No,Chile,No,Predeterminado
Nicolás Orellana,03/09/1995,Extremo izquierdo,Interior izquierdo,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/nicolas-orellana/profil/spieler/319473,300 mil €,,No,Chile,No,Predeterminado
Martín Valdés,27/06/2006,Extremo izquierdo,Extremo derecho,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/martin-valdes/profil/spieler/1276235,Sin valor,,No,Chile,No,Predeterminado
Gonzalo Álvarez,20/01/1997,Extremo derecho,Extremo izquierdo,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/gonzalo-alvarez/profil/spieler/533444,700 mil €,,No,Chile,No,Predeterminado
Thomas Rodríguez,05/04/1996,Extremo derecho,Extremo izquierdo,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/thomas-rodriguez/profil/spieler/402581,400 mil €,,No,Chile,No,Predeterminado
Alessandro Riep,03/07/2003,Extremo derecho,Mediocentro ofensivo,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/alessandro-riep/profil/spieler/912306,25 mil €,,No,Argentina,Si,Predeterminado
Ignacio Fuenzalida,07/08/2002,Extremo derecho,Extremo izquierdo,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/ignacio-fuenzalida/profil/spieler/1005966,Sin valor,,No,Chile,No,Predeterminado
Jhonatan Candia,15/03/1995,Delantero centro,Extremo derecho,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/jhonatan-candia/profil/spieler/259917,750 mil €,,No,Uruguay,Si,Predeterminado
Ignacio Jeraldino,06/12/1995,Delantero centro,Delantero centro,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/ignacio-jeraldino/profil/spieler/203150,700 mil €,,No,Chile,No,Predeterminado
Lautaro Palacios,29/05/1995,Delantero centro,Delantero centro,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/lautaro-palacios/profil/spieler/728527,600 mil €,,No,Argentina,Si,Predeterminado
Gonzalo Sosa,04/01/1989,Delantero centro,Delantero centro,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/gonzalo-sosa/profil/spieler/529755,400 mil €,,No,Argentina,Si,Predeterminado
Nazareno Bazán,08/03/1999,Delantero centro,Delantero centro,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/nazareno-bazan/profil/spieler/555846,225 mil €,,No,Argentina,Si,Predeterminado
Luciano Arriagada,30/04/2002,Delantero centro,Delantero centro,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/luciano-arriagada/profil/spieler/737965,200 mil €,,No,Chile,No,Predeterminado
Javier Quiñones,07/10/2002,Delantero centro,Extremo derecho,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/javier-quinones/profil/spieler/844430,25 mil €,,No,Chile,No,Predeterminado
Edruan Paredes,03/03/2003,Delantero centro,Extremo izquierdo,Audax Italiano,Primera A Chile,,https://www.transfermarkt.es/edruan-paredes/profil/spieler/1236135,Sin valor,,No,Chile,No,Predeterminado
Nicola Pérez,05/02/1990,Portero,Portero,CD Ñublense,Primera A Chile,,https://www.transfermarkt.es/nicola-perez/profil/spieler/102453,650 mil €,,No,Uruguay,Si,Predeterminado
Diego Tapia,07/05/1995,Portero,Portero,CD Ñublense,Primera A Chile,,https://www.transfermarkt.es/diego-tapia/profil/spieler/386172,175 mil €,,No,Chile,No,Predeterminado
Hernán Muñoz,09/08/1988,Portero,Portero,CD Ñublense,Primera A Chile,,https://www.transfermarkt.es/hernan-munoz/profil/spieler/529336,100 mil €,,No,Chile,No,Predeterminado
Guillermo Gajardo,05/06/2002,Portero,Portero,CD Ñublense,Primera A Chile,,https://www.transfermarkt.es/guillermo-gajardo/profil/spieler/963169,25 mil €,,No,Chile,No,Predeterminado
Celso Castillo,04/08/1998,Portero,Portero,CD Ñublense,Primera A Chile,,https://www.transfermarkt.es/celso-castillo/profil/spieler/534896,Sin valor,,No,Chile,No,Predeterminado
Osvaldo Bosso,14/10/1993,Defensa central,Pivote,CD Ñublense,Primera A Chile,,https://www.transfermarkt.es/osvaldo-bosso/profil/spieler/209815,500 mil €,,No,Chile,No,Predeterminado
Enzo Guerrero,31/01/1991,Defensa central,Lateral derecho,CD Ñublense,Primera A Chile,,https://www.transfermarkt.es/enzo-guerrero/profil/spieler/172389,375 mil €,,No,Chile,No,Predeterminado
Carlos Labrín,02/12/1990,Defensa central,Defensa central,CD Ñublense,Primera A Chile,,https://www.transfermarkt.es/carlos-labrin/profil/spieler/89783,325 mil €,,No,Chile,No,Predeterminado
Rafael Caroca,19/07/1989,Defensa central,Pivote,CD Ñublense,Primera A Chile,,https://www.transfermarkt.es/rafael-caroca/profil/spieler/76388,300 mil €,,No,Chile,No,Predeterminado
Lucas Abascia,10/12/1995,Defensa central,Lateral derecho,CD Ñublense,Primera A Chile,,https://www.transfermarkt.es/lucas-abascia/profil/spieler/689230,250 mil €,,No,Argentina,Si,Predeterminado
Nicolás Zalazar,29/01/1997,Defensa central,Lateral derecho,CD Ñublense,Primera A Chile,,https://www.transfermarkt.es/nicolas-zalazar/profil/spieler/471640,250 mil €,,No,Argentina,Si,Predeterminado
Sebastián Valencia,13/02/2000,Defensa central,Lateral izquierdo,CD Ñublense,Primera A Chile,,https://www.transfermarkt.es/sebastian-valencia/profil/spieler/491639,Sin valor,,No,Chile,No,Predeterminado
Lautaro Pignata,14/12/2004,Defensa central,Pivote,CD Ñublense,Primera A Chile,,https://www.transfermarkt.es/lautaro-pignata/profil/spieler/1240672,Sin valor,,No,Argentina,Si,Predeterminado
Jovany Campusano,11/01/1993,Lateral izquierdo,Interior izquierdo,CD Ñublense,Primera A Chile,,https://www.transfermarkt.es/jovany-campusano/profil/spieler/184998,800 mil €,,No,Chile,No,Predeterminado
Felipe Yáñez,18/10/2004,Lateral izquierdo,Extremo izquierdo,CD Ñublense,Primera A Chile,,https://www.transfermarkt.es/felipe-yanez/profil/spieler/947718,425 mil €,,No,Chile,No,Predeterminado
Bastián Pino,15/11/2001,Lateral izquierdo,Mediocentro,CD Ñublense,Primera A Chile,,https://www.transfermarkt.es/bastian-pino/profil/spieler/969804,25 mil €,,No,Chile,No,Predeterminado
Raimundo Rebolledo,14/05/1997,Lateral derecho,Lateral izquierdo,CD Ñublense,Primera A Chile,,https://www.transfermarkt.es/raimundo-rebolledo/profil/spieler/376781,600 mil €,,No,Chile,No,Predeterminado
Cristopher Medina,13/02/2001,Lateral derecho,Lateral izquierdo,CD Ñublense,Primera A Chile,,https://www.transfermarkt.es/cristopher-medina/profil/spieler/747832,550 mil €,,No,Chile,No,Predeterminado
Bernardo Cerezo,21/01/1995,Lateral derecho,Defensa central,CD Ñublense,Primera A Chile,,https://www.transfermarkt.es/bernardo-cerezo/profil/spieler/251047,450 mil €,,No,Chile,No,Predeterminado
Juan Córdova,25/06/1995,Lateral derecho,Lateral izquierdo,CD Ñublense,Primera A Chile,,https://www.transfermarkt.es/juan-cordova/profil/spieler/512808,400 mil €,,No,Canadá,Si,Predeterminado
Lorenzo Reyes,13/06/1991,Pivote,Mediocentro,CD Ñublense,Primera A Chile,,https://www.transfermarkt.es/lorenzo-reyes/profil/spieler/119537,600 mil €,,No,Chile,No,Predeterminado
Gustavo Espinaza,23/02/2005,Centrocampista,Centrocampista,CD Ñublense,Primera A Chile,,https://www.transfermarkt.es/gustavo-espinaza/profil/spieler/1274285,Sin valor,,No,Chile,No,Predeterminado
Erick Sepúlveda,01/07/2006,Centrocampista,Centrocampista,CD Ñublense,Primera A Chile,,https://www.transfermarkt.es/erick-sepulveda/profil/spieler/1274286,Sin valor,,No,Chile,No,Predeterminado
Juan Leiva,11/11/1993,Mediocentro,Pivote,CD Ñublense,Primera A Chile,,https://www.transfermarkt.es/juan-leiva/profil/spieler/194493,600 mil €,,No,Chile,No,Predeterminado
Santiago Dittborn,30/10/1992,Mediocentro,Interior izquierdo,CD Ñublense,Primera A Chile,,https://www.transfermarkt.es/santiago-dittborn/profil/spieler/176601,500 mil €,,No,Chile,No,Predeterminado
Branco Provoste,14/04/2000,Mediocentro,Mediocentro ofensivo,CD Ñublense,Primera A Chile,,https://www.transfermarkt.es/branco-provoste/profil/spieler/461622,400 mil €,,No,Chile,No,Predeterminado
Iván Rozas,01/07/1998,Mediocentro,Pivote,CD Ñublense,Primera A Chile,,https://www.transfermarkt.es/ivan-rozas/profil/spieler/491420,400 mil €,,No,Chile,No,Predeterminado
Manuel Rivera,17/02/1996,Mediocentro,Interior izquierdo,CD Ñublense,Primera A Chile,,https://www.transfermarkt.es/manuel-rivera/profil/spieler/534910,300 mil €,,No,Chile,No,Predeterminado
Walter Martínez,31/01/2000,Mediocentro,Mediocentro ofensivo,CD Ñublense,Primera A Chile,,https://www.transfermarkt.es/walter-martinez/profil/spieler/910459,50 mil €,,No,Chile,No,Predeterminado
Jhonatan Tempine,28/06/2006,Mediocentro,Mediocentro,CD Ñublense,Primera A Chile,,https://www.transfermarkt.es/jhonatan-tempine/profil/spieler/1128589,Sin valor,,No,Chile,No,Predeterminado
Flavio Moya,17/01/2006,Mediocentro,Pivote,CD Ñublense,Primera A Chile,,https://www.transfermarkt.es/flavio-moya/profil/spieler/1175376,Sin valor,,No,Chile,No,Predeterminado
Gabriel Graciani,28/11/1993,Mediocentro ofensivo,Interior derecho,CD Ñublense,Primera A Chile,,https://www.transfermarkt.es/gabriel-graciani/profil/spieler/43491,800 mil €,,No,Argentina,Si,Predeterminado
